rentree_scolaire;UAI;departement;academie;region;patronyme;indice_eloignement
2020;0754476H;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE POLYVALENT GUILLAUME TIREL - LYCÉE DES MÉTIERS DE L' HOTELLERIE;92.2
2020;0753268V;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE POLYVALENT JEAN LURÇAT;92.7
2020;0130049H;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE POLYVALENT DU REMPART;92.9
2020;0750675B;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE VOLTAIRE;93.1
2020;0130043B;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE VICTOR HUGO;93.2
2020;0592921E;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ SAINT RÉMI;93.3
2020;0131402D;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCEE DES METIERS PRIVE CHARLES PEGUY;93.4
2020;0750663N;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE CHAPTAL;93.4
2020;0753890W;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ CHARLES PÉGUY;93.4
2020;0420079H;LOIRE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE PROFESSIONNEL ETIENNE MIMARD;93.5
2020;0753915Y;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL PRIVÉ BLOMET;93.5
2020;0131398Z;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE TECHNOLOGIQUE PRIVÉ MAXIMILIEN DE SULLY;93.6
2020;0131441W;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE PROFESSIONNEL PRIVÉ SAINT MICHEL;93.6
2020;0921484N;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT PRIVÉ MONTALEMBERT;93.6
2020;0690035N;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE AUGUSTE ET LOUIS LUMIÈRE;93.7
2020;0750651A;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE POLYVALENT SIMONE WEIL;93.7
2020;0420041S;LOIRE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL CLAUDE FAURIEL;93.8
2020;0590186G;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL TURGOT - LYCÉE DES MÉTIERS DES SERVICES ADMINISTRATIFS ET DE LA RELATION CLIENT;93.8
2020;0921230M;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT LÉONARD DE VINCI, LYCÉE DES MÉTIERS DE LA MICRO-TECHNOLOGIE, DE L'OPTIQUE ET DES SERVICES AUX ENTREPRISES;93.8
2020;0754860A;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE PRIVÉ SAINT FRANÇOIS DE SALES - THÉRÈSE CHAPPUIS;93.9
2020;0930118Y;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JEAN RENOIR;93.9
2020;0750682J;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL RODIN;94.0
2020;0750703G;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL MOLIÈRE;94.0
2020;0940580V;VAL-DE-MARNE;CRETEIL;ILE-DE-FRANCE;LYCÉE POLYVALENT DE CACHAN;94.0
2020;0130040Y;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE THIERS;94.1
2020;0690040U;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT HECTOR GUIMARD - LYCEE DES METIERS DE LA FONDERIE, DE LA PLASTURGIE ET DES OUTILLAGES ASSOCIES, DE LA PROTHESE DENTAIRE;94.1
2020;0750671X;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE POLYVALENT EDGAR QUINET;94.1
2020;0755352K;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GENERAL PRIVÉ N'R HATORAH;94.1
2020;0930125F;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;LYCÉE ENSEIGNEMENT GÉNÉRAL ET TECHNOLOGIQUE PAUL ELUARD;94.1
2020;0131339K;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ SAINT JOSEPH DE LA MADELEINE;94.2
2020;0930135S;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL SIMONE WEIL;94.2
2020;0631068U;PUY-DE-DOME;CLERMONT-FERRAND;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ GODEFROY DE BOUILLON;94.3
2020;0753919C;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE PRIVÉ PASCAL;94.3
2020;0510034K;MARNE;REIMS;GRAND EST;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE FRANKLIN ROOSEVELT;94.4
2020;0641664L;PYRENEES-ATLANTIQUES;BORDEAUX;NOUVELLE-AQUITAINE;LYCEE PROFESSIONNEL PRIVE IMMACULEE-CONCEPTION BEAU FRENE - LYCEE DES METIERS DE L'INDUSTRIE, DU NUMERIQUE ET DE LA TRANSITION ENERGETIQUE;94.4
2020;0690032K;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JULIETTE RÉCAMIER;94.4
